decile,customer_count,churners,churn_rate,avg_predicted_probability,lift_vs_baseline,cumulative_churners,cumulative_capture_rate,cumulative_population_share
1,140,100,0.7142857142857143,0.8539082429238728,2.6871657754010694,100,0.26737967914438504,0.09950248756218906
2,141,87,0.6170212765957447,0.7717012856023532,2.321253840027307,187,0.5,0.19971570717839374
3,141,58,0.41134751773049644,0.6858576181087088,1.5475025600182044,245,0.6550802139037433,0.2999289267945984
4,140,50,0.35714285714285715,0.5984666100570134,1.3435828877005347,295,0.7887700534759359,0.3994314143567875
5,141,25,0.1773049645390071,0.49045713784846856,0.6670269655250881,320,0.8556149732620321,0.4996446339729922
6,141,30,0.2127659574468085,0.3551320361752882,0.8004323586301058,350,0.9358288770053476,0.5998578535891969
7,140,12,0.08571428571428572,0.23991593761103494,0.32245989304812833,362,0.9679144385026738,0.6993603411513859
8,141,10,0.07092198581560284,0.13044519479393113,0.2668107862100353,372,0.9946524064171123,0.7995735607675906
9,141,1,0.0070921985815602835,0.0691559503634348,0.026681078621003523,373,0.9973262032085561,0.8997867803837953
10,141,1,0.0070921985815602835,0.04615093984291063,0.026681078621003523,374,1.0,1.0
